"","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"65419",10847238,"JA151093","02/12/2017 02:58:00 PM","021XX W ROSCOE ST","0460","BATTERY","SIMPLE","SIDEWALK","false","false",1921,19,32,5,"08B",1161565,1922558,2017,"02/19/2017 03:47:01 PM",41.943177932,-87.681571897,"(41.943177932, -87.681571897)"
"16276",10924974,"JA239418","04/26/2017 01:30:00 AM","012XX S WABASH AVE","0460","BATTERY","SIMPLE","SIDEWALK","false","false",131,1,2,33,"08B",1176964,1894818,2017,"05/03/2017 03:53:47 PM",41.866722906,-87.625814328,"(41.866722906, -87.625814328)"
"36092",10895088,"JA205832","03/29/2017 07:20:00 AM","001XX S DEARBORN ST","0890","THEFT","FROM BUILDING","SMALL RETAIL STORE","false","false",112,1,42,32,"06",1175960,1899592,2017,"04/05/2017 03:53:43 PM",41.879845704,-87.629356347,"(41.879845704, -87.629356347)"
"14221",10929519,"JA244618","04/29/2017 09:00:00 PM","020XX E 69TH ST","0334","ROBBERY","ATTEMPT: ARMED-KNIFE/CUT INSTR","ALLEY","false","false",331,3,5,43,"03",1190866,1859618,2017,"05/06/2017 03:51:13 PM",41.769806426,-87.575918545,"(41.769806426, -87.575918545)"
"80646",10822971,"JA123838","01/20/2017 11:48:00 PM","031XX W 56TH ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true",824,8,14,63,"08B",1156243,1867322,2017,"02/14/2017 03:49:42 PM",41.791713931,-87.702624562,"(41.791713931, -87.702624562)"
"1964",10953010,"JA272444","05/10/2017 01:30:00 PM","014XX N BELL AVE","0620","BURGLARY","UNLAWFUL ENTRY","APARTMENT","false","false",1424,14,1,24,"05",NA,NA,2017,"05/22/2017 03:58:12 PM",NA,NA,""
"60839",10854808,"JA159858","02/18/2017 11:00:00 PM","007XX N SACRAMENTO BLVD","0810","THEFT","OVER $500","OTHER","false","false",1221,12,27,23,"06",1156097,1904592,2017,"02/25/2017 03:56:47 PM",41.893990113,-87.702155577,"(41.893990113, -87.702155577)"
"67217",10844841,"JA147996","02/09/2017 07:20:00 PM","056XX W BELMONT AVE","1121","DECEPTIVE PRACTICE","COUNTERFEITING DOCUMENT","GROCERY FOOD STORE","false","false",1633,16,38,15,"10",1138058,1920707,2017,"02/16/2017 03:49:36 PM",41.938556557,-87.768017693,"(41.938556557, -87.768017693)"
"60921",10854152,"JA158822","02/18/2017 05:36:00 PM","109XX S DOTY AVE W","0860","THEFT","RETAIL THEFT","DEPARTMENT STORE","true","false",513,5,9,50,"06",1185440,1832668,2017,"02/25/2017 03:56:47 PM",41.695982095,-87.596653142,"(41.695982095, -87.596653142)"
"41013",10885915,"JA195835","03/21/2017 09:50:00 PM","028XX E 79TH ST","2024","NARCOTICS","POSS: HEROIN(WHITE)","APARTMENT","true","false",421,4,7,43,"18",1196183,1853126,2017,"03/28/2017 03:56:52 PM",41.75186178,-87.556644001,"(41.75186178, -87.556644001)"
"64227",10849217,"JA153448","02/14/2017 12:49:00 PM","034XX W MADISON ST","141B","WEAPONS VIOLATION","UNLAWFUL USE OTHER FIREARM","STREET","false","false",1123,11,28,27,"15",1153385,1899803,2017,"02/21/2017 04:01:48 PM",41.880902929,-87.71224323,"(41.880902929, -87.71224323)"
"17429",10924341,"JA238442","04/25/2017 11:40:00 AM","077XX S COLES AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","ALLEY","false","true",421,4,7,43,"08B",1196821,1854543,2017,"05/02/2017 03:50:33 PM",41.755734302,-87.554259054,"(41.755734302, -87.554259054)"
"85305",10816105,"JA114633","01/13/2017 12:01:00 AM","007XX W MADISON ST","1310","CRIMINAL DAMAGE","TO PROPERTY","HOTEL/MOTEL","false","false",1232,12,27,28,"14",1171210,1900261,2017,"02/14/2017 03:49:42 PM",41.881787077,-87.646777915,"(41.881787077, -87.646777915)"
"33211",10898293,"JA209898","04/02/2017 03:15:00 PM","020XX N CALIFORNIA AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false",1431,14,1,22,"14",1157380,1913277,2017,"04/09/2017 03:57:12 PM",41.917796487,-87.697206976,"(41.917796487, -87.697206976)"
"81086",10822607,"JA123326","01/20/2017 05:01:00 PM","045XX S HERMITAGE AVE","1020","ARSON","BY FIRE","ALLEY","false","false",924,9,20,61,"09",1165439,1874613,2017,"02/14/2017 03:49:42 PM",41.811531219,-87.668697679,"(41.811531219, -87.668697679)"
"4771",10942612,"JA260713","05/12/2017 04:30:00 AM","038XX S KEDZIE AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","false","false",911,9,12,58,"14",1155671,1878780,2017,"05/19/2017 03:52:48 PM",41.823167727,-87.704414548,"(41.823167727, -87.704414548)"
"17738",10923669,"JA238038","04/24/2017 04:00:00 PM","057XX S CICERO AVE","0810","THEFT","OVER $500","AIRPORT PARKING LOT","false","false",813,8,23,56,"06",1145654,1866253,2017,"05/01/2017 03:53:39 PM",41.788987036,-87.74147999,"(41.788987036, -87.74147999)"
